,Apartment_ID,Rooms,Garage,Useful_Area,Latitude,Longitude,Seller_Value,Condition,Coordinates,Action,County
796,1187,3.0,1.0,88,-23.573979,-46.73659979999999,530102,1,"-23.573979, -46.73659979999999",Buy,Região Imediata de São Paulo
826,15282,2.0,2.0,130,-23.595420899999997,-46.6772848,1222530,1,"-23.595420899999997, -46.6772848",Buy,Vila Olímpia
888,4626,2.0,1.0,98,-23.5415783,-46.6567631,799554,1,"-23.5415783, -46.6567631",Buy,Consolação
926,16879,3.0,1.0,110,-23.5575139,-46.6651038,1270910,1,"-23.5575139, -46.6651038",Buy,Cerqueira César
946,16456,3.0,2.0,94,-23.6021299,-46.6445558,1042600,1,"-23.6021299, -46.6445558",Buy,Saúde
977,9052,3.0,3.0,170,-23.58758,-46.673753399999995,2130580,1,"-23.58758, -46.673753399999995",Buy,Região Imediata de São Paulo
978,2094,2.0,2.0,85,-23.6262129,-46.6744411,1222950,1,"-23.6262129, -46.6744411",Buy,Campo Belo
979,33,3.0,2.0,106,-23.525733499999998,-46.6911725,1029460,1,"-23.525733499999998, -46.6911725",Buy,Região Imediata de São Paulo
989,4425,3.0,2.0,135,-23.5549569,-46.6538549,1983810,1,"-23.5549569, -46.6538549",Buy,Bela Vista
996,9418,3.0,1.0,140,-23.580838,-46.6796621,1960360,1,"-23.580838, -46.6796621",Buy,Itaim Bibi
1037,6885,2.0,1.0,53,-23.5606748,-46.623147700000004,546506,1,"-23.5606748, -46.623147700000004",Buy,Região Imediata de São Paulo
1057,3365,2.0,1.0,60,-23.5887116,-46.7200669,356589,1,"-23.5887116, -46.7200669",Buy,Região Imediata de São Paulo
1063,12440,3.0,3.0,143,-23.6264195,-46.707108000000005,1524490,1,"-23.6264195, -46.707108000000005",Buy,Região Imediata de São Paulo
1083,666,3.0,2.0,98,-23.531633399999997,-46.730495700000006,1118070,1,"-23.531633399999997, -46.730495700000006",Buy,Vila Leopoldina
1105,3234,3.0,2.0,86,-23.586311399999996,-46.7213677,860568,1,"-23.586311399999996, -46.7213677",Buy,Morumbi
1108,16977,3.0,1.0,130,-23.5547288,-46.66303320000001,1174870,1,"-23.5547288, -46.66303320000001",Buy,Consolação
1154,17092,2.0,1.0,110,-23.5600578,-46.6674599,1292410,1,"-23.5600578, -46.6674599",Buy,Jardim Paulista
1212,116,2.0,2.0,117,-23.5246801,-46.6907584,1101930,1,"-23.5246801, -46.6907584",Buy,Lapa
1216,15032,3.0,1.0,86,-23.579501399999998,-46.6058364,633562,1,"-23.579501399999998, -46.6058364",Buy,Ipiranga
1247,5390,3.0,1.0,86,-23.5512511,-46.6801488,832003,1,"-23.5512511, -46.6801488",Buy,Pinheiros
1250,1703,3.0,3.0,93,-23.5258711,-46.704533500000004,955268,1,"-23.5258711, -46.704533500000004",Buy,Vila Romana
1253,3763,2.0,1.0,77,-23.5987549,-46.6686881,776704,1,"-23.5987549, -46.6686881",Buy,Região Imediata de São Paulo
1278,15695,2.0,1.0,100,-23.6104798,-46.6609109,1037550,1,"-23.6104798, -46.6609109",Buy,Moema
1323,16549,3.0,3.0,140,-23.6005563,-46.665451899999994,1371580,1,"-23.6005563, -46.665451899999994",Buy,Moema
1331,4676,3.0,1.0,119,-23.5382645,-46.6592311,1333560,1,"-23.5382645, -46.6592311",Buy,Santa Cecília
1336,7013,3.0,1.0,90,-23.568712899999998,-46.6281803,761575,1,"-23.568712899999998, -46.6281803",Buy,Liberdade
1361,14856,3.0,2.0,83,-23.569285600000004,-46.595011299999996,587692,1,"-23.569285600000004, -46.595011299999996",Buy,Mooca
1381,1541,3.0,2.0,117,-23.5332298,-46.7147955,899648,1,"-23.5332298, -46.7147955",Buy,Lapa
1389,16912,3.0,3.0,150,-23.5618907,-46.6656575,2327820,1,"-23.5618907, -46.6656575",Buy,Cerqueira César
1400,2538,3.0,2.0,130,-23.6232987,-46.673502,1171780,1,"-23.6232987, -46.673502",Buy,Campo Belo
1402,15042,2.0,1.0,60,-23.558018,-46.5963527,338986,1,"-23.558018, -46.5963527",Buy,Mooca
1466,1985,3.0,2.0,137,-23.6262129,-46.6744411,1971100,1,"-23.6262129, -46.6744411",Buy,Campo Belo
1496,15094,3.0,1.0,68,-23.554946100000002,-46.589734,464503,1,"-23.554946100000002, -46.589734",Buy,Região Imediata de São Paulo
1582,9255,3.0,2.0,170,-23.580649800000003,-46.6737666,2201750,1,"-23.580649800000003, -46.6737666",Buy,Região Imediata de São Paulo
1607,455,3.0,2.0,123,-23.526363500000002,-46.707398100000006,726357,1,"-23.526363500000002, -46.707398100000006",Buy,Vila Romana
1609,15043,2.0,1.0,55,-23.5564383,-46.594687,338914,1,"-23.5564383, -46.594687",Buy,Mooca
1655,8844,3.0,1.0,96,-23.580204100000003,-46.676947,1123100,1,"-23.580204100000003, -46.676947",Buy,Itaim Bibi
1721,15130,3.0,1.0,69,-23.559749,-46.5828386,475206,1,"-23.559749, -46.5828386",Buy,Água Rasa
1741,10555,2.0,2.0,81,-23.567600100000003,-46.6583807,900008,1,"-23.567600100000003, -46.6583807",Buy,Jardim Paulista
1761,1532,2.0,1.0,75,-23.5428074,-46.683980700000006,724869,1,"-23.5428074, -46.683980700000006",Buy,Sumaré
1762,17039,3.0,1.0,140,-23.563223,-46.670741,1656330,1,"-23.563223, -46.670741",Buy,Jardim Paulista
1766,15031,3.0,2.0,110,-23.5674179,-46.583684000000005,729924,1,"-23.5674179, -46.583684000000005",Buy,Região Imediata de São Paulo
1783,17030,3.0,1.0,113,-23.5641247,-46.670222499999994,1422020,1,"-23.5641247, -46.670222499999994",Buy,Jardim Paulista
1798,5478,3.0,1.0,90,-23.559585000000002,-46.6740277,924676,1,"-23.559585000000002, -46.6740277",Buy,Jardim Paulista
1843,11400,3.0,1.0,93,-23.5914741,-46.7215035,631650,1,"-23.5914741, -46.7215035",Buy,Morumbi
1874,17028,2.0,1.0,100,-23.555355,-46.665102000000005,788973,1,"-23.555355, -46.665102000000005",Buy,Consolação
1889,15047,2.0,2.0,53,-23.561989,-46.6026546,446323,1,"-23.561989, -46.6026546",Buy,Região Imediata de São Paulo
1904,15953,2.0,2.0,94,-23.603809,-46.669959000000006,1057370,1,"-23.603809, -46.669959000000006",Buy,Indianópolis
1936,9933,2.0,2.0,78,-23.5693335,-46.6537776,1376680,1,"-23.5693335, -46.6537776",Buy,Jardim Paulista
1941,16730,2.0,1.0,85,-23.6220207,-46.6401383,342911,1,"-23.6220207, -46.6401383",Buy,Saúde
2035,9853,2.0,1.0,54,-23.563530800000002,-46.648151899999995,991876,1,"-23.563530800000002, -46.648151899999995",Buy,Bela Vista
2086,10037,3.0,2.0,154,-23.563668399999997,-46.64989620000001,1431730,1,"-23.563668399999997, -46.64989620000001",Buy,Bela Vista
2094,14926,3.0,2.0,85,-23.5491468,-46.594069700000006,629527,1,"-23.5491468, -46.594069700000006",Buy,Mooca
2101,9455,3.0,2.0,133,-23.5814181,-46.6825811,1646350,1,"-23.5814181, -46.6825811",Buy,Itaim Bibi
2128,4480,2.0,1.0,55,-23.542279399999998,-46.65327429999999,640217,1,"-23.542279399999998, -46.65327429999999",Buy,Santa Cecília
2132,12939,3.0,2.0,75,-23.6092296,-46.70818010000001,674379,1,"-23.6092296, -46.70818010000001",Buy,Região Imediata de São Paulo
2133,16847,3.0,1.0,136,-23.5579552,-46.663506,1491870,1,"-23.5579552, -46.663506",Buy,Jardim Paulista
2149,16015,2.0,1.0,74,-23.6026324,-46.6434503,626052,1,"-23.6026324, -46.6434503",Buy,Saúde
2155,16987,3.0,2.0,160,-23.5637553,-46.6676257,2087950,1,"-23.5637553, -46.6676257",Buy,Jardim Paulista
2166,472,2.0,2.0,102,-23.5535271,-46.6981076,1191300,1,"-23.5535271, -46.6981076",Buy,Alto de Pinheiros
2226,11813,2.0,1.0,73,-23.6176824,-46.6949631,863058,1,"-23.6176824, -46.6949631",Buy,Itaim Bibi
2246,1398,2.0,1.0,87,-23.547010999999998,-46.686481,857982,1,"-23.547010999999998, -46.686481",Buy,Perdizes
2293,15159,3.0,1.0,71,-23.538201500000003,-46.5914252,364359,1,"-23.538201500000003, -46.5914252",Buy,Belém
2298,5970,2.0,2.0,61,-23.610671,-46.620022,440208,1,"-23.610671, -46.620022",Buy,Cursino
2355,597,2.0,1.0,76,-23.5708585,-46.7134414,465029,1,"-23.5708585, -46.7134414",Buy,Região Imediata de São Paulo
2385,3038,3.0,2.0,104,-23.5621748,-46.6955632,1200490,1,"-23.5621748, -46.6955632",Buy,Vila Madalena
2421,10461,2.0,1.0,82,-23.5708726,-46.66173870000001,1272990,1,"-23.5708726, -46.66173870000001",Buy,Jardim Paulista
2431,1735,3.0,2.0,90,-23.528427,-46.685224299999994,903210,1,"-23.528427, -46.685224299999994",Buy,Perdizes
2439,743,3.0,2.0,70,-23.5363865,-46.6851131,783806,1,"-23.5363865, -46.6851131",Buy,Perdizes
2467,13464,2.0,1.0,100,-23.571596399999997,-46.6507287,854920,1,"-23.571596399999997, -46.6507287",Buy,Vila Mariana
2519,10313,2.0,1.0,95,-23.5693125,-46.6633775,1414300,1,"-23.5693125, -46.6633775",Buy,Região Imediata de São Paulo
2521,17050,3.0,2.0,108,-23.5597889,-46.6641258,1345000,1,"-23.5597889, -46.6641258",Buy,Cerqueira César
2525,306,3.0,1.0,72,-23.555021300000003,-46.6965765,696560,1,"-23.555021300000003, -46.6965765",Buy,Pinheiros
2526,14859,2.0,1.0,68,-23.5661517,-46.591005200000005,513179,1,"-23.5661517, -46.591005200000005",Buy,Mooca
2543,3230,2.0,2.0,84,-23.564099600000002,-46.6910643,1047950,1,"-23.564099600000002, -46.6910643",Buy,Pinheiros
2548,3638,2.0,1.0,59,-23.5961104,-46.6726114,1304690,1,"-23.5961104, -46.6726114",Buy,Moema
2553,13967,3.0,2.0,70,-23.5962767,-46.6375333,538055,1,"-23.5962767, -46.6375333",Buy,Jardim Vila Mariana
2580,14343,3.0,2.0,88,-23.5856322,-46.6368007,1042690,1,"-23.5856322, -46.6368007",Buy,Jardim Vila Mariana
2594,12247,2.0,1.0,61,-23.6324194,-46.7383636,727013,1,"-23.6324194, -46.7383636",Buy,Vila Andrade
2613,5400,2.0,1.0,76,-23.554903,-46.6787332,734322,1,"-23.554903, -46.6787332",Buy,Jardim Paulista
2632,16934,3.0,1.0,136,-23.562314100000002,-46.666107000000004,1512930,1,"-23.562314100000002, -46.666107000000004",Buy,Cerqueira César
2648,1263,3.0,3.0,171,-23.5276168,-46.687539799999996,1779740,1,"-23.5276168, -46.687539799999996",Buy,Perdizes
2660,5387,2.0,2.0,68,-23.5574793,-46.6785474,673223,1,"-23.5574793, -46.6785474",Buy,Jardim Paulista
2716,12460,3.0,1.0,76,-23.591615,-46.7293322,668593,1,"-23.591615, -46.7293322",Buy,Vila Sônia
2745,15152,3.0,2.0,89,-23.585593499999998,-46.605002500000005,772339,1,"-23.585593499999998, -46.605002500000005",Buy,Ipiranga
2765,9616,3.0,1.0,158,-23.5672572,-46.6609729,1891110,1,"-23.5672572, -46.6609729",Buy,Região Imediata de São Paulo
2766,17043,3.0,1.0,101,-23.5604681,-46.6644891,1159620,1,"-23.5604681, -46.6644891",Buy,Cerqueira César
2783,585,3.0,2.0,88,-23.530903600000002,-46.6934693,803646,1,"-23.530903600000002, -46.6934693",Buy,Lapa
2785,1883,3.0,2.0,110,-23.6235122,-46.6690516,734323,1,"-23.6235122, -46.6690516",Buy,Campo Belo
2809,14317,3.0,1.0,85,-23.5838407,-46.6418217,774578,1,"-23.5838407, -46.6418217",Buy,Vila Mariana
2812,17020,2.0,1.0,77,-23.559243,-46.6662783,1129600,1,"-23.559243, -46.6662783",Buy,Cerqueira César
2837,1412,2.0,2.0,71,-23.532595,-46.705137,755985,1,"-23.532595, -46.705137",Buy,Lapa
2839,16885,3.0,2.0,105,-23.5579018,-46.6663075,923515,1,"-23.5579018, -46.6663075",Buy,Jardim Paulista
2854,1445,3.0,2.0,100,-23.5371187,-46.7187527,857343,1,"-23.5371187, -46.7187527",Buy,Alto de Pinheiros
2872,997,2.0,1.0,60,-23.5288101,-46.729830799999995,529840,1,"-23.5288101, -46.729830799999995",Buy,Região Imediata de São Paulo
2875,13662,2.0,2.0,152,-23.578298,-46.642011,1430590,1,"-23.578298, -46.642011",Buy,Paraíso
2899,9641,3.0,1.0,100,-23.563246799999998,-46.662570200000005,1375540,1,"-23.563246799999998, -46.662570200000005",Buy,Jardim Paulista
2945,14768,2.0,2.0,60,-23.577839800000003,-46.5884228,424838,1,"-23.577839800000003, -46.5884228",Buy,Mooca
2947,5408,3.0,2.0,95,-23.5571781,-46.6775322,1028100,1,"-23.5571781, -46.6775322",Buy,Jardim Paulista
2953,2619,3.0,1.0,113,-23.612729100000003,-46.67865220000001,1065030,1,"-23.612729100000003, -46.67865220000001",Buy,Itaim Bibi
2955,9295,2.0,1.0,120,-23.583723000000003,-46.680091499999996,1381800,1,"-23.583723000000003, -46.680091499999996",Buy,Região Imediata de São Paulo
2969,16647,3.0,2.0,110,-23.604912,-46.662269,1503230,1,"-23.604912, -46.662269",Buy,Região Imediata de São Paulo
2977,11278,3.0,1.0,93,-23.604879699999998,-46.694894399999995,866654,1,"-23.604879699999998, -46.694894399999995",Buy,Itaim Bibi
3000,16641,2.0,1.0,80,-23.603931699999997,-46.6462651,641054,1,"-23.603931699999997, -46.6462651",Buy,Saúde
3025,1035,2.0,2.0,96,-23.5439474,-46.6959278,1287320,1,"-23.5439474, -46.6959278",Buy,Alto de Pinheiros
3035,10754,3.0,2.0,159,-23.5641704,-46.6579093,1890130,1,"-23.5641704, -46.6579093",Buy,Jardim Paulista
3056,10528,2.0,2.0,77,-23.5585516,-46.6567204,1178250,1,"-23.5585516, -46.6567204",Buy,Bela Vista
3092,330,2.0,2.0,122,-23.535535,-46.705901000000004,1606970,1,"-23.535535, -46.705901000000004",Buy,Vila Argentina
3105,14035,2.0,1.0,73,-23.5853969,-46.641918700000005,656332,1,"-23.5853969, -46.641918700000005",Buy,Vila Mariana
3131,1284,2.0,1.0,85,-23.549482100000002,-46.690577399999995,808305,1,"-23.549482100000002, -46.690577399999995",Buy,Pinheiros
3151,16904,3.0,2.0,156,-23.5606029,-46.6682912,2006430,1,"-23.5606029, -46.6682912",Buy,Jardim Paulista
3153,15108,3.0,1.0,62,-23.577735399999998,-46.6037747,503711,1,"-23.577735399999998, -46.6037747",Buy,Ipiranga
3179,9248,3.0,1.0,118,-23.5830109,-46.67401029999999,998056,1,"-23.5830109, -46.67401029999999",Buy,Itaim Bibi
3197,3401,2.0,1.0,85,-23.5669452,-46.6904905,1060420,1,"-23.5669452, -46.6904905",Buy,Pinheiros
3261,16967,2.0,1.0,92,-23.559465399999997,-46.6626965,977245,1,"-23.559465399999997, -46.6626965",Buy,Cerqueira César
3268,783,3.0,2.0,86,-23.5379936,-46.7182559,707533,1,"-23.5379936, -46.7182559",Buy,Alto de Pinheiros
3283,17168,3.0,1.0,120,-23.565962300000002,-46.6344016,1015430,1,"-23.565962300000002, -46.6344016",Buy,Região Imediata de São Paulo
3302,14764,2.0,1.0,62,-23.551772699999997,-46.588697499999995,522114,1,"-23.551772699999997, -46.588697499999995",Buy,Região Imediata de São Paulo
3315,1186,2.0,1.0,106,-23.5418023,-46.683078200000004,1045360,1,"-23.5418023, -46.683078200000004",Buy,Perdizes
3320,2932,2.0,1.0,73,-23.561474800000003,-46.68828920000001,628780,1,"-23.561474800000003, -46.68828920000001",Buy,Pinheiros
3408,4878,2.0,1.0,58,-23.5410759,-46.6520365,709251,1,"-23.5410759, -46.6520365",Buy,Santa Cecília
3412,9646,3.0,1.0,160,-23.5699352,-46.6619624,1471810,1,"-23.5699352, -46.6619624",Buy,Jardim Paulista
3415,10429,2.0,1.0,74,-23.570711300000003,-46.656655799999996,1003010,1,"-23.570711300000003, -46.656655799999996",Buy,Jardim Paulista
3439,1346,3.0,2.0,89,-23.5341397,-46.691877500000004,917285,1,"-23.5341397, -46.691877500000004",Buy,Perdizes
3461,16029,2.0,2.0,130,-23.6035293,-46.6692036,1482930,1,"-23.6035293, -46.6692036",Buy,Moema
3471,10307,3.0,1.0,79,-23.5632482,-46.648092999999996,1050300,1,"-23.5632482, -46.648092999999996",Buy,Bela Vista
3472,1316,3.0,1.0,87,-23.531566899999998,-46.7270539,731690,1,"-23.531566899999998, -46.7270539",Buy,Vila Hamburguesa
3499,36,3.0,3.0,112,-23.5346105,-46.6820886,1136890,1,"-23.5346105, -46.6820886",Buy,Perdizes
3500,1202,3.0,1.0,97,-23.5479313,-46.693109299999996,821570,1,"-23.5479313, -46.693109299999996",Buy,Pinheiros
3508,5049,2.0,1.0,75,-23.556319000000002,-46.652826,776854,1,"-23.556319000000002, -46.652826",Buy,Bela Vista
3519,13132,3.0,2.0,110,-23.5898068,-46.648386200000004,1339430,1,"-23.5898068, -46.648386200000004",Buy,Vila Mariana
3522,1295,3.0,1.0,103,-23.543060999999998,-46.686877,995486,1,"-23.543060999999998, -46.686877",Buy,Região Imediata de São Paulo
3526,9447,3.0,2.0,170,-23.579113,-46.6761624,1884890,1,"-23.579113, -46.6761624",Buy,Região Imediata de São Paulo
3545,14029,3.0,2.0,121,-23.586045300000002,-46.647292,964963,1,"-23.586045300000002, -46.647292",Buy,Paraíso
3560,5603,2.0,1.0,80,-23.5587133,-46.6761883,998047,1,"-23.5587133, -46.6761883",Buy,Cerqueira César
3567,12038,3.0,2.0,120,-23.6124872,-46.7361891,746572,1,"-23.6124872, -46.7361891",Buy,Vila Sônia
3607,8621,2.0,1.0,70,-23.583713600000003,-46.68287410000001,757594,1,"-23.583713600000003, -46.68287410000001",Buy,Itaim Bibi
3619,185,3.0,3.0,167,-23.5525983,-46.6973418,2314490,1,"-23.5525983, -46.6973418",Buy,Alto de Pinheiros
3628,14908,2.0,1.0,54,-23.577735399999998,-46.6037747,438716,1,"-23.577735399999998, -46.6037747",Buy,Ipiranga
3658,16147,2.0,1.0,80,-23.6079195,-46.6701195,762645,1,"-23.6079195, -46.6701195",Buy,Moema
3692,5572,2.0,2.0,160,-23.5568095,-46.6773355,1868350,1,"-23.5568095, -46.6773355",Buy,Cerqueira César
3706,3460,3.0,1.0,71,-23.5617235,-46.686257399999995,573318,1,"-23.5617235, -46.686257399999995",Buy,Pinheiros
3726,16970,3.0,1.0,115,-23.5594315,-46.6650556,1679700,1,"-23.5594315, -46.6650556",Buy,Jardim Paulista
3752,13779,2.0,1.0,57,-23.5970535,-46.6375545,934938,1,"-23.5970535, -46.6375545",Buy,Vila Clementino
3766,12988,3.0,2.0,132,-23.632889000000002,-46.7298706,1301340,1,"-23.632889000000002, -46.7298706",Buy,Vila Andrade
3786,14978,3.0,2.0,90,-23.5595039,-46.586718700000006,666558,1,"-23.5595039, -46.586718700000006",Buy,Mooca
3807,16568,2.0,1.0,83,-23.6008319,-46.6481151,645484,1,"-23.6008319, -46.6481151",Buy,Região Imediata de São Paulo
3854,1743,3.0,2.0,76,-23.5327698,-46.6882258,820365,1,"-23.5327698, -46.6882258",Buy,Perdizes
3867,14505,2.0,2.0,100,-23.583239399999997,-46.65052670000001,857014,1,"-23.583239399999997, -46.65052670000001",Buy,Moema
3875,13637,3.0,3.0,128,-23.5814572,-46.6346049,1286710,1,"-23.5814572, -46.6346049",Buy,Vila Mariana
3880,9768,3.0,2.0,160,-23.5642293,-46.660861499999996,1972860,1,"-23.5642293, -46.660861499999996",Buy,Região Imediata de São Paulo
3902,16705,3.0,2.0,102,-23.605955899999998,-46.66336389999999,1648420,1,"-23.605955899999998, -46.66336389999999",Buy,Moema
3912,3333,2.0,1.0,58,-23.564621799999998,-46.695627,736854,1,"-23.564621799999998, -46.695627",Buy,Vila Madalena
3922,4142,3.0,1.0,144,-23.5383689,-46.6548126,1331640,1,"-23.5383689, -46.6548126",Buy,Santa Cecília
3935,369,2.0,2.0,72,-23.5305216,-46.6894133,827177,1,"-23.5305216, -46.6894133",Buy,Perdizes
3942,2089,2.0,1.0,55,-23.640849399999997,-46.6638568,459529,1,"-23.640849399999997, -46.6638568",Buy,Região Imediata de São Paulo
3947,7412,3.0,2.0,164,-23.534114000000002,-46.676525700000006,1611150,1,"-23.534114000000002, -46.676525700000006",Buy,Sumaré
3959,7170,2.0,1.0,73,-23.5874242,-46.625690999999996,568976,1,"-23.5874242, -46.625690999999996",Buy,Vila Mariana
3964,14814,3.0,2.0,153,-23.5627788,-46.5999756,1133150,1,"-23.5627788, -46.5999756",Buy,Região Imediata de São Paulo
3965,16911,2.0,1.0,110,-23.5609887,-46.668454100000005,1240760,1,"-23.5609887, -46.668454100000005",Buy,Jardim Paulista
3975,9790,2.0,2.0,113,-23.5652892,-46.6630318,1886110,1,"-23.5652892, -46.6630318",Buy,Região Imediata de São Paulo
4000,11990,3.0,2.0,91,-23.6247745,-46.7341403,467735,1,"-23.6247745, -46.7341403",Buy,Vila Andrade
4043,14548,2.0,1.0,64,-23.570479100000004,-46.648986900000004,736746,1,"-23.570479100000004, -46.648986900000004",Buy,Paraíso
4047,5146,3.0,1.0,97,-23.55078,-46.643969,506762,1,"-23.55078, -46.643969",Buy,República
4066,15306,3.0,1.0,86,-23.5962855,-46.6754251,888597,1,"-23.5962855, -46.6754251",Buy,Itaim Bibi
4083,8678,2.0,1.0,72,-23.5790301,-46.6725146,728077,1,"-23.5790301, -46.6725146",Buy,Itaim Bibi
4105,13300,3.0,1.0,115,-23.5843807,-46.6467362,1001670,1,"-23.5843807, -46.6467362",Buy,Rua Bagé
4124,1271,2.0,1.0,60,-23.543584399999997,-46.6896719,579895,1,"-23.543584399999997, -46.6896719",Buy,Perdizes
4133,3134,3.0,3.0,168,-23.5624432,-46.6965282,2033410,1,"-23.5624432, -46.6965282",Buy,Pinheiros
4137,3325,2.0,1.0,62,-23.590914899999998,-46.7300387,402827,1,"-23.590914899999998, -46.7300387",Buy,Região Imediata de São Paulo
4140,14990,3.0,2.0,73,-23.567322,-46.584107200000005,614747,1,"-23.567322, -46.584107200000005",Buy,Região Imediata de São Paulo
4191,195,3.0,2.0,105,-23.530817499999998,-46.729229499999995,886285,1,"-23.530817499999998, -46.729229499999995",Buy,Vila Leopoldina
4203,15028,3.0,1.0,85,-23.5606195,-46.5963794,715801,1,"-23.5606195, -46.5963794",Buy,Região Imediata de São Paulo
4284,10558,3.0,2.0,140,-23.56868,-46.6645219,1942560,1,"-23.56868, -46.6645219",Buy,Jardim Paulista
