,rooms,garages,useful_area,latitude,longitude,value,interior_quality,time_on_market,sold
3942,3.0,2.0,230,-23.5904157,-46.6710056,3919550,3,1,1
11481,4.0,6.0,363,-23.6232341,-46.7195204,4326320,3,33,1
6705,3.0,3.0,152,-23.605538,-46.624783,1062040,3,90,1
14606,2.0,1.0,96,-23.5632034,-46.6772092,1024630,3,22,0
17630,1.0,1.0,75,-23.5636518,-46.6314592,634646,3,41,1
2344,1.0,1.0,38,-23.6436762,-46.6997977,271524,3,8,0
11522,1.0,1.0,130,-23.6215299,-46.7312305,734950,3,112,1
908,2.0,1.0,46,-23.5743046,-46.7316047,348467,2,28,1
12871,3.0,2.0,135,-23.5921792,-46.7205465,1131810,3,55,0
14281,1.0,1.0,42,-23.5745625,-46.6428242,345996,3,2,0
13099,4.0,2.0,147,-23.6256943,-46.7183279,1751980,3,49,1
4167,1.0,5.0,384,-23.55279,-46.655567,2536710,3,45,0
922,2.0,2.0,72,-23.5508916,-46.6900323,636191,3,73,0
4002,3.0,3.0,165,-23.6048939,-46.6739128,1938150,3,5,0
15148,4.0,2.0,142,-23.5767089,-46.602818,1229330,1,103,0
11347,4.0,3.0,280,-23.5996256,-46.7291769,1827500,3,11,1
1845,3.0,1.0,72,-23.5197194,-46.7242167,718572,1,81,0
5720,3.0,2.0,72,-23.63675,-46.640258,636575,2,14,1
1442,3.0,2.0,145,-23.5221201,-46.7257045,1259850,3,112,0
12371,4.0,2.0,141,-23.6091609,-46.7349482,1308970,2,3,1
4285,3.0,1.0,208,-23.5429055,-46.659901,2330930,3,116,1
9844,1.0,1.0,40,-23.5663786,-46.6636685,607076,3,158,0
8228,2.0,1.0,75,-23.5332471,-46.6675082,487155,3,70,0
13677,3.0,1.0,150,-23.5879285,-46.6433128,1376120,3,39,1
17123,3.0,2.0,250,-23.559648,-46.6690507,2824140,2,47,1
8422,4.0,3.0,238,-23.5356856,-46.6614663,2523820,3,19,1
189,3.0,3.0,144,-23.530646,-46.6900921,1713290,2,40,1
11855,4.0,3.0,156,-23.6185315,-46.7356171,1136380,3,101,0
1260,2.0,1.0,93,-23.5247342,-46.6976854,505806,3,19,0
579,1.0,2.0,124,-23.5525983,-46.6973418,1718540,3,50,1
14695,4.0,2.0,140,-23.5628007,-46.6775887,1594090,2,49,1
9707,3.0,2.0,180,-23.5712543,-46.6559098,1989380,3,20,0
6792,4.0,2.0,201,-23.605785,-46.617799,1851890,3,91,1
15972,4.0,5.0,357,-23.6078353,-46.6553814,5937900,3,99,0
581,3.0,2.0,78,-23.5340272,-46.7166073,834016,2,41,1
15720,3.0,2.0,100,-23.6073466,-46.6601676,969453,3,21,0
7199,4.0,2.0,124,-23.5904419,-46.6262075,1071890,3,46,0
5254,4.0,3.0,302,-23.5448204,-46.6533502,3532380,3,31,1
1682,3.0,3.0,205,-23.546665,-46.716166,2215780,3,34,0
1513,2.0,2.0,135,-23.5356205,-46.7077365,1659510,2,50,1
9008,3.0,1.0,187,-23.5815422,-46.6748781,2087210,1,10,0
3938,4.0,3.0,210,-23.6015183,-46.6691563,2302440,3,58,0
2876,3.0,1.0,98,-23.6325052,-46.6922726,742880,3,91,0
4924,4.0,2.0,280,-23.5471606,-46.6537452,2545080,3,65,0
9372,3.0,1.0,107,-23.5881229,-46.6730384,1186280,3,11,0
15597,2.0,1.0,75,-23.6039944,-46.677976,831504,3,9,0
16192,1.0,1.0,41,-23.6441389,-46.6422125,339706,3,45,1
15526,4.0,2.0,305,-23.5938193,-46.6782011,3540200,3,30,1
12422,4.0,2.0,138,-23.6078339,-46.6887361,1252230,1,18,1
2240,4.0,4.0,220,-23.6254243,-46.6728332,2231460,2,64,0
2789,4.0,3.0,440,-23.6179883,-46.6802012,3584240,2,60,1
16916,3.0,1.0,135,-23.5594957,-46.6670544,1501570,1,9,1
9019,4.0,6.0,690,-23.5827857,-46.6915036,16925000,3,137,0
6699,5.0,4.0,250,-23.624766,-46.6205225,2004590,2,4,0
4083,2.0,1.0,56,-23.55338,-46.652025,609046,3,18,1
12952,4.0,4.0,280,-23.6079788,-46.7065861,1820390,3,120,0
16308,2.0,1.0,80,-23.6112002,-46.6405548,612872,3,88,0
6954,4.0,4.0,200,-23.5915283,-46.6252013,2079390,3,64,0
9337,3.0,1.0,135,-23.5828502,-46.6751367,1395940,3,37,1
13647,3.0,3.0,143,-23.5743243,-46.6478063,2089260,3,1,1
14702,3.0,1.0,115,-23.5774343,-46.5896931,526893,3,19,0
7053,2.0,1.0,63,-23.5898158,-46.6271878,542596,2,75,1
6377,3.0,2.0,93,-23.603145,-46.616761,820021,3,163,0
15247,3.0,2.0,115,-23.5979617,-46.6806766,1481050,3,108,0
2159,2.0,1.0,80,-23.6156698,-46.6745347,856660,3,21,0
14149,2.0,2.0,212,-23.569108,-46.6494906,1852730,3,84,0
13531,3.0,1.0,180,-23.5726281,-46.6429977,1569310,2,95,1
15079,3.0,2.0,177,-23.55736,-46.6046844,1310900,1,31,0
8592,3.0,1.0,83,-23.5333734,-46.668047,1253200,3,21,1
17189,3.0,1.0,150,-23.5599154,-46.6427309,828503,2,137,1
1082,3.0,3.0,230,-23.545417,-46.6970753,2382650,2,94,0
10749,3.0,1.0,181,-23.5678764,-46.6584121,1966720,2,26,0
2506,4.0,3.0,148,-23.6325444,-46.6903497,1569810,2,71,0
4992,3.0,2.0,220,-23.5467699,-46.6603637,2193710,3,82,1
2063,3.0,2.0,130,-23.6193199,-46.6740905,1030560,2,87,0
17120,3.0,3.0,280,-23.5628589,-46.6686466,3361870,1,1,0
16178,3.0,2.0,130,-23.6061885,-46.6628569,1560560,3,3,1
8133,4.0,2.0,63,-23.5046259,-46.6401296,394120,2,25,0
2461,2.0,1.0,96,-23.6192829,-46.6753207,673272,2,44,1
6977,3.0,2.0,104,-23.5689316,-46.6189261,943825,2,128,1
16402,4.0,2.0,155,-23.6043222,-46.6607536,2340650,3,58,0
3470,2.0,4.0,425,-23.5963444,-46.6674675,9296060,3,25,1
14948,4.0,3.0,142,-23.562958,-46.5874259,1195810,2,20,1
1219,2.0,1.0,67,-23.5284934,-46.6863909,642791,2,27,1
5747,3.0,3.0,158,-23.6070945,-46.6344145,1419160,3,7,1
1923,4.0,3.0,173,-23.6472847,-46.667403,1479420,2,42,0
10303,4.0,2.0,350,-23.5669939,-46.6606564,5105000,2,19,1
8546,4.0,4.0,214,-23.5359102,-46.6785084,2361040,2,48,1
14349,2.0,1.0,70,-23.597931,-46.6334947,516022,2,57,0
5423,3.0,4.0,157,-23.5603722,-46.6763868,2341190,3,57,1
12809,3.0,3.0,127,-23.6075979,-46.7073621,903614,1,88,1
629,2.0,1.0,55,-23.5600899,-46.6987987,674134,3,125,1
749,3.0,2.0,83,-23.5293099,-46.6872713,915078,3,1,1
11511,3.0,2.0,168,-23.6068912,-46.6959343,2160750,3,8,1
15943,2.0,1.0,50,-23.6035876,-46.6691051,541056,3,9,1
12273,4.0,3.0,229,-23.6154539,-46.6867468,2860070,2,119,0
8632,3.0,2.0,175,-23.5813381,-46.6857127,2434420,2,13,1
15956,3.0,1.0,131,-23.6023042,-46.6679043,1473570,3,42,0
13595,4.0,4.0,216,-23.589964,-46.6281,2393940,3,44,1
9750,3.0,1.0,152,-23.5657564,-46.6652568,1988390,3,9,0
13371,4.0,4.0,205,-23.5713528,-46.6507629,2731310,3,20,1
7249,3.0,2.0,78,-23.567272,-46.615617,729839,3,39,1
7734,4.0,3.0,248,-23.5097595,-46.6507406,1839060,2,80,0
3147,2.0,1.0,57,-23.5904961,-46.7284709,501445,3,95,0
5871,4.0,3.0,198,-23.6219021,-46.6355069,2108480,3,26,1
14640,3.0,2.0,117,-23.5598318,-46.6780635,1086600,1,71,1
9932,3.0,1.0,142,-23.5667951,-46.6568951,1145750,2,79,1
15429,2.0,1.0,75,-23.5934885,-46.6741198,666899,3,7,0
6606,2.0,2.0,63,-23.6022961,-46.6269763,583250,2,49,1
7490,3.0,2.0,92,-23.5373259,-46.6788506,961239,2,66,1
3453,3.0,3.0,161,-23.5624432,-46.6965282,1948680,3,53,1
393,3.0,2.0,100,-23.5236131,-46.6995,1022470,1,40,1
12062,3.0,1.0,116,-23.6101493,-46.7257726,763560,3,93,1
17343,4.0,4.0,152,-23.5684055,-46.630195,1667880,3,24,1
5068,2.0,2.0,70,-23.556385,-46.653144,580476,1,10,0
14431,2.0,1.0,91,-23.5908998,-46.6407672,536327,3,33,1
12522,4.0,7.0,761,-23.6366667,-46.73,7628570,3,118,0
15637,4.0,4.0,480,-23.6062213,-46.6539233,4905290,2,10,1
7284,3.0,1.0,133,-23.5282665,-46.6816852,1108840,2,171,0
12763,4.0,3.0,182,-23.6063801,-46.702451,1259190,3,148,0
5196,3.0,2.0,450,-23.5429003,-46.6627248,4346220,1,36,1
7584,4.0,4.0,178,-23.5294401,-46.674784,1919950,2,5,1
408,4.0,3.0,290,-23.5463059,-46.7094698,4072540,3,27,0
7803,4.0,6.0,508,-23.5371104,-46.6698175,8561820,2,8,1
15984,2.0,1.0,83,-23.6105958,-46.6439245,538160,2,88,1
15941,4.0,4.0,265,-23.6035816,-46.6700545,3792700,3,38,0
7960,3.0,1.0,106,-23.528074,-46.675637,617433,3,91,0
7761,2.0,2.0,75,-23.5345368,-46.672314,1004100,3,50,1
12617,4.0,4.0,309,-23.6063801,-46.702451,2137850,3,112,0
6402,2.0,1.0,58,-23.6163575,-46.628729,597101,3,30,0
1388,3.0,1.0,75,-23.5385735,-46.705882,921949,3,80,1
12841,4.0,3.0,251,-23.613824,-46.683842,3099590,3,94,1
2680,3.0,3.0,146,-23.6430628,-46.6711152,1377970,2,93,1
1075,4.0,2.0,96,-23.526575,-46.7390487,813498,1,14,1
14223,2.0,2.0,56,-23.587139,-46.63266,640063,3,38,1
12166,3.0,2.0,75,-23.6297233,-46.7319318,536047,2,48,1
6518,1.0,1.0,53,-23.6270822,-46.6395555,406446,3,152,0
15610,2.0,1.0,70,-23.6165873,-46.6425543,623245,3,13,1
12518,3.0,1.0,84,-23.6219368,-46.6949275,730161,3,4,1
15175,2.0,1.0,67,-23.6015895,-46.6812113,605003,3,20,1
9981,2.0,2.0,260,-23.5678035,-46.6661192,3657400,3,157,1
12732,4.0,3.0,370,-23.6110106,-46.6825191,3363480,3,54,0
16623,3.0,3.0,160,-23.602786,-46.6664711,1581990,2,36,1
9441,2.0,2.0,97,-23.5811958,-46.6745334,1153680,2,13,0
17236,3.0,2.0,145,-23.5638975,-46.6435691,1278450,2,34,1
15638,2.0,1.0,52,-23.6456076,-46.6479597,345007,3,37,1
2668,3.0,2.0,133,-23.6262129,-46.6744411,1913550,2,47,1
15244,2.0,1.0,62,-23.5954209,-46.6772848,583054,3,10,1
12702,4.0,5.0,549,-23.5978861,-46.7243159,3996160,3,131,0
789,1.0,1.0,75,-23.547278,-46.6885995,613372,3,4,1
12409,2.0,2.0,158,-23.6114542,-46.7091051,996949,3,12,0
4742,4.0,2.0,260,-23.5397647,-46.6601569,2398490,3,173,0
6981,3.0,3.0,120,-23.5917375,-46.6262612,1400570,3,11,1
6930,3.0,2.0,76,-23.5763393,-46.6119851,621474,3,22,1
17865,3.0,1.0,85,-23.5352452,-46.575463,500913,3,37,1
1702,3.0,1.0,95,-23.527593,-46.6930053,416275,1,70,0
5857,3.0,2.0,72,-23.6164351,-46.633683,693060,3,14,0
10874,4.0,4.0,310,-23.6313058,-46.7335465,2727160,3,60,1
16197,3.0,2.0,112,-23.6089443,-46.659653,1292670,1,63,1
14244,4.0,6.0,440,-23.5820485,-46.6532056,9471020,3,38,0
3051,3.0,2.0,95,-23.5883197,-46.7189823,785122,1,31,1
14272,3.0,2.0,195,-23.5742811,-46.6450389,1984550,2,36,0
3314,2.0,1.0,80,-23.5639504,-46.681975,998047,2,47,1
15892,2.0,2.0,73,-23.606717,-46.6634526,851249,3,7,1
16436,3.0,2.0,90,-23.6329691,-46.6435282,745695,3,7,0
12156,3.0,2.0,90,-23.618259,-46.6848007,990120,3,28,0
11173,3.0,1.0,129,-23.6111567,-46.7242833,1061140,2,73,1
13688,4.0,2.0,176,-23.5881792,-46.6450006,1436180,2,49,0
2252,4.0,3.0,210,-23.6215889,-46.677819,2735110,3,18,1
7885,2.0,1.0,100,-23.5417612,-46.6727135,930131,2,51,1
328,2.0,1.0,67,-23.5347944,-46.6866812,647549,2,153,0
4135,3.0,2.0,186,-23.5403636,-46.6592077,2084390,3,27,1
4208,4.0,1.0,220,-23.5368944,-46.6549687,1983930,1,76,1
11715,3.0,2.0,99,-23.6134832,-46.7072555,680195,3,85,0
11453,3.0,3.0,161,-23.6336988,-46.731731,1013960,3,154,0
16367,4.0,2.0,144,-23.6085769,-46.6643171,1785630,2,55,1
12448,4.0,4.0,190,-23.6106286,-46.6811719,2167830,3,44,0
13553,1.0,2.0,67,-23.602431,-46.642122,648446,3,101,0
16259,3.0,1.0,110,-23.6064101,-46.6415271,725931,1,66,1
14983,3.0,3.0,188,-23.5779869,-46.6065224,1681660,3,63,1
11243,4.0,4.0,291,-23.6347054,-46.7146293,2888350,3,113,0
3632,3.0,3.0,286,-23.6003545,-46.6719456,4342720,3,6,1
6176,2.0,2.0,72,-23.6101512,-46.6355844,635437,3,151,0
15744,2.0,2.0,133,-23.611102,-46.6623707,1326550,3,93,0
7515,2.0,1.0,65,-23.5355228,-46.6789774,628220,2,49,1
15153,2.0,1.0,62,-23.5552048,-46.5933149,403392,3,61,1
8148,4.0,2.0,214,-23.5390188,-46.6684725,1798900,2,89,1
8881,3.0,1.0,150,-23.5792936,-46.67324,2100390,3,6,1
624,3.0,2.0,75,-23.538659,-46.70504,358039,3,163,0
17454,2.0,1.0,88,-23.566067,-46.6461897,750429,2,0,1
16066,1.0,1.0,30,-23.6028306,-46.658864,322093,2,2,1
11798,3.0,2.0,88,-23.6104915,-46.7348167,630915,3,14,1
2086,4.0,3.0,127,-23.6469037,-46.6639763,1189300,3,124,0
8622,4.0,6.0,800,-23.5877644,-46.6852984,13877700,3,23,1
14296,3.0,1.0,110,-23.5754107,-46.6475121,1136400,3,8,1
9670,3.0,2.0,172,-23.5639686,-46.6485658,1414620,2,34,1
17010,3.0,2.0,390,-23.5646634,-46.6685865,5589200,3,9,1
9868,3.0,2.0,180,-23.5666482,-46.6607077,2136780,2,98,0
711,4.0,3.0,217,-23.5322013,-46.7258735,2079890,2,1,1
2,2.0,2.0,63,-23.5247118,-46.7093093,568498,3,66,1
17809,3.0,2.0,122,-23.5532276,-46.5733756,838824,3,22,1
11581,4.0,5.0,407,-23.6347054,-46.7146293,4039720,3,118,0
1568,2.0,2.0,90,-23.5207191,-46.7056165,791860,2,38,1
17231,3.0,2.0,105,-23.5684633,-46.6331202,888504,3,5,1
16643,2.0,2.0,72,-23.603401,-46.6687812,961980,2,44,1
6238,2.0,1.0,58,-23.6169049,-46.6247708,406580,3,13,0
8063,2.0,1.0,55,-23.4925143,-46.6301061,342765,3,5,0
11496,2.0,1.0,110,-23.6111567,-46.7242833,904851,3,18,1
16609,2.0,1.0,68,-23.6206353,-46.6405918,553391,3,82,0
10301,4.0,3.0,477,-23.5666704,-46.6642202,9146050,1,4,0
3064,3.0,1.0,125,-23.5610381,-46.6834188,1044290,2,53,1
14771,3.0,2.0,98,-23.5568517,-46.6043505,577026,1,7,0
7142,3.0,2.0,182,-23.5662518,-46.6266243,1302140,3,79,1
16352,4.0,6.0,436,-23.6073735,-46.6604214,6499690,3,19,1
2384,3.0,3.0,194,-23.6245686,-46.6849182,1908110,2,75,1
10421,4.0,5.0,394,-23.5706138,-46.6579328,7179780,3,8,1
13829,2.0,1.0,86,-23.5907496,-46.6464007,773213,3,4,1
5114,3.0,1.0,203,-23.5445735,-46.6518613,2274900,3,57,1
8836,2.0,1.0,82,-23.5845628,-46.6799369,986777,2,12,1
7984,4.0,4.0,240,-23.534208,-46.661043,3242460,2,111,0
11635,3.0,4.0,220,-23.6366667,-46.73,1573250,3,7,0
17438,3.0,2.0,104,-23.56221,-46.630224,1030030,3,58,1
3921,3.0,1.0,150,-23.6016962,-46.6707236,1536110,3,56,0
1736,4.0,4.0,514,-23.54965,-46.718573,6903180,3,53,1
8364,4.0,5.0,297,-23.503765,-46.6419119,2748410,3,39,1
1478,4.0,3.0,187,-23.5271479,-46.7355417,1876840,1,150,0
642,2.0,1.0,85,-23.5346925,-46.6891511,821518,3,34,1
8107,3.0,1.0,110,-23.5026769,-46.6383047,733431,3,8,1
17477,3.0,2.0,114,-23.570197,-46.6328052,959024,3,113,1
8698,3.0,1.0,152,-23.5854266,-46.687633,1758370,2,14,1
8824,2.0,2.0,204,-23.587699,-46.674154,3410010,3,36,0
6919,4.0,5.0,403,-23.590205,-46.624848,5750980,3,104,1
15547,3.0,3.0,114,-23.5959153,-46.6745188,1723890,2,105,1
3412,4.0,3.0,200,-23.5566169,-46.6931859,2494120,2,113,1
8041,4.0,4.0,246,-23.5340703,-46.6790931,2869000,3,70,1
6804,4.0,2.0,125,-23.6079686,-46.632315,1139790,3,55,0
4012,3.0,2.0,145,-23.6005823,-46.6700375,2075000,3,38,0
14712,4.0,4.0,243,-23.5523704,-46.5875371,1878040,3,25,0
11695,4.0,4.0,336,-23.5911488,-46.719962,3543890,3,22,1
13891,3.0,4.0,182,-23.581891,-46.6446862,2591080,3,36,0
9342,1.0,1.0,42,-23.5879841,-46.6710765,798035,2,5,1
916,4.0,5.0,240,-23.5413999,-46.6866024,2688030,3,16,0
12972,3.0,2.0,67,-23.6318957,-46.7336375,536094,3,29,1
14025,1.0,1.0,80,-23.582262,-46.6479755,1116470,2,5,0
561,3.0,2.0,92,-23.534627,-46.690972,1065740,2,13,1
15200,3.0,2.0,95,-23.5903177,-46.6716908,1014920,3,30,1
2977,2.0,1.0,60,-23.5668085,-46.6908422,811620,2,13,1
2114,3.0,2.0,126,-23.6405169,-46.6966892,1384390,2,106,0
2753,4.0,4.0,230,-23.6250151,-46.6842224,2823560,2,24,1
16594,3.0,2.0,280,-23.6060496,-46.6669516,2738860,2,45,1
11052,2.0,2.0,85,-23.6087382,-46.7041218,702803,3,40,1
12511,1.0,2.0,122,-23.601446,-46.717651,1093710,2,39,1
6686,2.0,1.0,68,-23.6175753,-46.5965765,332720,3,141,0
15802,3.0,1.0,110,-23.6138366,-46.6597522,971733,3,51,0
1623,2.0,1.0,97,-23.5489016,-46.6932911,751446,3,10,1
17218,4.0,4.0,246,-23.5697735,-46.6369671,3001780,2,2,1
3696,3.0,2.0,136,-23.5939964,-46.6713703,2241910,3,16,1
9197,4.0,5.0,480,-23.5803735,-46.6734559,5629570,1,50,0
17714,3.0,2.0,87,-23.5499937,-46.5726259,612622,3,137,0
6561,2.0,1.0,70,-23.6057387,-46.6287601,553251,3,55,0
8215,3.0,3.0,114,-23.535736,-46.6774852,1263490,2,61,1
5815,4.0,2.0,180,-23.5945829,-46.6047342,946159,3,16,0
2401,4.0,4.0,178,-23.6225396,-46.6739752,1980200,2,50,1
15758,3.0,1.0,110,-23.621835,-46.6477166,691552,3,53,0
6,2.0,1.0,67,-23.5355062,-46.6827225,534862,3,112,0
13468,2.0,1.0,80,-23.5712906,-46.6444364,920933,3,9,1
10666,4.0,3.0,540,-23.5659509,-46.6604917,10354000,3,9,1
7046,1.0,1.0,42,-23.5865922,-46.6263166,327882,3,14,1
3506,3.0,3.0,216,-23.5939964,-46.6713703,3560670,3,47,1
6257,3.0,3.0,141,-23.6003789,-46.6205955,1272540,3,74,0
14900,3.0,2.0,96,-23.5644133,-46.5833614,861068,3,11,1
8937,3.0,2.0,130,-23.5797532,-46.674125,1548610,2,27,1
12769,3.0,4.0,170,-23.6099716,-46.7075641,1120790,3,50,1
12215,3.0,3.0,240,-23.5985493,-46.7253398,1701460,3,40,0
8076,3.0,1.0,155,-23.53563,-46.6586251,1736990,3,3,1
592,3.0,3.0,120,-23.5437715,-46.7218043,1305910,3,13,1
1797,3.0,2.0,135,-23.5403897,-46.6909998,1304760,2,0,1
3550,4.0,10.0,1060,-23.5973155,-46.6687469,22682900,3,8,0
8820,4.0,3.0,350,-23.588378,-46.670107,4867610,2,19,1
12863,3.0,2.0,94,-23.608562,-46.7276372,600292,2,155,0
317,3.0,2.0,156,-23.5325118,-46.7183109,1650810,1,13,1
13100,4.0,3.0,157,-23.6117066,-46.7082385,1248480,3,3,1
15012,3.0,2.0,166,-23.5637645,-46.5864487,1206530,2,15,0
8189,4.0,3.0,150,-23.5333531,-46.6822581,1484700,3,50,1
14958,3.0,1.0,60,-23.5710051,-46.6062829,587934,2,67,1
11805,3.0,2.0,319,-23.6098225,-46.68234,2990170,3,16,0
10955,2.0,2.0,58,-23.6011079,-46.7161175,712073,3,86,1
3343,1.0,1.0,35,-23.5612847,-46.6822556,269320,3,128,0
1282,2.0,1.0,78,-23.554421,-46.6914073,754607,2,0,1
1977,3.0,2.0,92,-23.6237252,-46.6763204,1280280,2,15,1
8323,2.0,1.0,100,-23.540488,-46.6785166,986186,2,40,1
2992,3.0,3.0,163,-23.5678336,-46.6902873,2033520,3,112,0
11909,2.0,2.0,121,-23.601446,-46.717651,1084740,3,11,0
3078,4.0,5.0,380,-23.5575181,-46.6925485,4129520,2,25,0
6776,3.0,2.0,114,-23.5978577,-46.6031214,781342,3,32,1
8765,2.0,1.0,85,-23.5843751,-46.6768636,1019250,3,30,0
16011,3.0,1.0,72,-23.6005505,-46.6481181,1020460,3,23,1
436,3.0,1.0,116,-23.5524596,-46.6889814,1122240,3,0,1
1626,2.0,1.0,70,-23.5431679,-46.6870126,650537,3,83,1
7001,3.0,3.0,165,-23.5904222,-46.6268622,1651860,2,41,1
5820,2.0,2.0,82,-23.6114382,-46.6305554,776911,3,37,1
5626,2.0,1.0,55,-23.6268515,-46.637192,436890,3,20,1
16991,3.0,1.0,130,-23.5577059,-46.6652939,1765740,1,22,1
13560,3.0,1.0,127,-23.5754462,-46.6447094,1236480,3,93,0
107,4.0,5.0,260,-23.5500717,-46.6899012,2328440,3,179,0
5814,3.0,1.0,75,-23.5961663,-46.6286023,535736,2,34,1
5118,2.0,1.0,100,-23.5461627,-46.655245,1076350,3,4,0
1849,2.0,1.0,59,-23.5329378,-46.6889814,445583,3,3,0
8008,4.0,2.0,230,-23.5377913,-46.6613901,1739570,3,73,0
6769,3.0,2.0,85,-23.6180746,-46.6306435,806705,2,25,1
1595,2.0,1.0,74,-23.530329,-46.705566,568582,3,32,0
9507,1.0,1.0,37,-23.5610949,-46.6477203,502083,3,4,1
15397,2.0,1.0,74,-23.592815,-46.673341,744415,3,5,1
12876,1.0,1.0,50,-23.601446,-46.717651,448240,2,132,0
10702,2.0,2.0,78,-23.5723166,-46.6524142,987820,2,79,1
4825,3.0,1.0,180,-23.5538979,-46.6603931,1632750,3,103,1
15027,4.0,2.0,126,-23.5644133,-46.5833614,1130150,2,13,0
10991,4.0,3.0,216,-23.6294182,-46.7215323,1382810,3,22,1
3717,3.0,4.0,161,-23.6004733,-46.6708145,2467510,3,6,0
