,rooms,garages,useful_area,latitude,longitude,value,interior_quality
10141,3.0,2.0,345,-23.5674682,-46.6611578,6615070,3
15639,4.0,5.0,244,-23.6105948,-46.639882,2002780,3
9786,3.0,1.0,127,-23.5679714,-46.6652478,1551170,3
12959,4.0,4.0,315,-23.6330678,-46.7061112,3402480,3
14400,3.0,2.0,160,-23.5865331,-46.6423076,1359110,2
15109,4.0,3.0,147,-23.5682716,-46.5953643,1079730,3
15316,3.0,2.0,102,-23.6026493,-46.6758561,962692,3
2334,3.0,1.0,70,-23.6241804,-46.6659848,921926,2
3809,4.0,6.0,211,-23.597307,-46.666477,3760450,3
17509,4.0,3.0,300,-23.5721722,-46.6362152,2807190,2
8706,4.0,7.0,717,-23.5831081,-46.6898574,18862300,3
13001,3.0,2.0,72,-23.6348866,-46.7375901,476927,3
8019,2.0,1.0,46,-23.5325039,-46.6590426,310119,3
1149,3.0,1.0,75,-23.5313069,-46.7296441,670972,1
14278,2.0,1.0,65,-23.5713901,-46.6468379,508974,2
17208,2.0,1.0,61,-23.5641298,-46.639259,774600,2
13737,3.0,2.0,108,-23.5849271,-46.6464296,1272520,2
9122,4.0,3.0,272,-23.5784942,-46.6702593,3600020,2
16617,3.0,2.0,102,-23.6135309,-46.6627197,1086580,3
15937,4.0,4.0,389,-23.5984929,-46.6620682,5072790,3
4516,4.0,6.0,500,-23.5408779,-46.6627006,5116900,1
10655,1.0,1.0,45,-23.5649674,-46.6598304,670591,2
2490,4.0,3.0,295,-23.6390494,-46.7007211,3125970,2
2469,1.0,1.0,53,-23.6385846,-46.6695042,512762,3
9246,3.0,3.0,146,-23.5856344,-46.6746505,2778980,3
5187,3.0,3.0,430,-23.5470438,-46.6604554,3917860,3
661,4.0,6.0,478,-23.5507556,-46.7195476,9216880,3
14214,3.0,1.0,104,-23.5746628,-46.6486199,965970,3
2946,4.0,4.0,170,-23.5855091,-46.7169116,1398230,3
10370,4.0,3.0,250,-23.5705006,-46.6636464,3199810,3
1539,3.0,1.0,87,-23.5392826,-46.7161162,610236,1
15194,2.0,1.0,79,-23.5999906,-46.6750666,962720,3
6778,1.0,1.0,50,-23.6204002,-46.631584,441276,2
3663,3.0,2.0,127,-23.5955223,-46.6692071,1304730,3
7915,3.0,3.0,261,-23.541261,-46.6718023,2082590,3
13813,2.0,1.0,85,-23.577627,-46.64196,572555,1
2397,3.0,2.0,99,-23.6243617,-46.6861919,1223020,3
12421,3.0,4.0,222,-23.612107,-46.7076142,1399190,3
2057,4.0,3.0,144,-23.6149937,-46.6736182,1677140,2
4863,2.0,1.0,100,-23.5455719,-46.6502271,1120640,3
4810,3.0,2.0,145,-23.5444171,-46.6595267,1597760,3
17273,3.0,1.0,130,-23.5631259,-46.6440962,1200930,3
5133,1.0,1.0,40,-23.556343,-46.65546,419385,3
2215,2.0,1.0,68,-23.6138485,-46.6803668,572809,2
5129,1.0,1.0,48,-23.5589693,-46.6484946,442674,1
600,2.0,1.0,80,-23.5404926,-46.6838127,773193,2
10939,2.0,2.0,109,-23.605938,-46.738788,779362,3
16511,4.0,4.0,367,-23.6062261,-46.6401791,3974210,1
16427,4.0,5.0,355,-23.5995156,-46.665017,8144230,3
10491,5.0,5.0,633,-23.5642633,-46.6605273,13333100,2
10917,4.0,4.0,318,-23.620173,-46.7358071,1462270,3
14468,2.0,1.0,88,-23.5781567,-46.6470178,1412840,3
1750,3.0,2.0,67,-23.5706674,-46.7297276,477876,3
4768,4.0,4.0,250,-23.5386369,-46.6598435,2552710,3
3730,4.0,2.0,170,-23.6013498,-46.6698856,2383610,2
7433,2.0,1.0,132,-23.5288718,-46.6824689,972138,3
5610,3.0,1.0,100,-23.5500281,-46.6810137,827438,2
3415,3.0,2.0,80,-23.5867635,-46.7184418,804920,2
17221,2.0,1.0,70,-23.5582537,-46.6395425,389825,2
13860,3.0,2.0,109,-23.5908786,-46.637304,560908,3
14077,3.0,2.0,90,-23.5920615,-46.6265614,955435,2
10967,3.0,2.0,92,-23.6151197,-46.6856933,1204490,3
3518,3.0,2.0,80,-23.5993906,-46.6712384,1199770,3
15626,4.0,4.0,225,-23.607107,-46.6535295,2548780,2
6314,3.0,2.0,150,-23.6014389,-46.6133031,904236,3
14333,2.0,1.0,70,-23.5958588,-46.6437386,614343,2
17602,3.0,1.0,150,-23.5640383,-46.6444548,1256280,2
16821,3.0,3.0,138,-23.6074378,-46.6581372,1679720,2
14415,4.0,2.0,380,-23.5734673,-46.6486872,3404950,3
4370,3.0,1.0,123,-23.5392287,-46.6550639,1057360,3
13627,3.0,1.0,123,-23.5761745,-46.6442582,1284360,3
10434,3.0,2.0,115,-23.5686719,-46.6570134,1445710,3
12057,4.0,2.0,102,-23.6100895,-46.7383496,900041,3
13266,2.0,1.0,80,-23.570961,-46.647827,690572,3
4427,3.0,2.0,159,-23.5413225,-46.6600811,1541390,1
7451,3.0,3.0,165,-23.5354676,-46.6706522,1814370,2
6074,2.0,2.0,47,-23.6019514,-46.6064406,422289,2
1691,3.0,4.0,507,-23.546665,-46.716166,5480000,3
14545,2.0,1.0,110,-23.585984,-46.633975,967847,3
4640,3.0,1.0,110,-23.5575544,-46.6517653,1032040,2
13125,3.0,3.0,115,-23.5899612,-46.628627,952192,1
8492,3.0,2.0,200,-23.5337833,-46.6641904,1849070,2
1099,4.0,2.0,125,-23.5383589,-46.685745,1185070,3
11601,4.0,4.0,232,-23.6277419,-46.7380408,1589060,3
5979,2.0,1.0,67,-23.6060202,-46.629774,538430,3
828,3.0,3.0,180,-23.5440967,-46.6882201,1983880,2
13341,3.0,1.0,90,-23.5851713,-46.6446696,704301,1
6420,2.0,1.0,59,-23.6023614,-46.6036593,512372,3
16034,3.0,2.0,107,-23.6027321,-46.6440926,1064240,3
1471,2.0,1.0,96,-23.5426796,-46.6825935,946738,3
2986,3.0,2.0,87,-23.5863114,-46.7213677,870575,3
1924,4.0,3.0,216,-23.6251349,-46.674952,1696350,2
9911,3.0,2.0,156,-23.5621633,-46.6515602,1615860,2
7328,3.0,1.0,110,-23.537795,-46.6777663,1063140,2
2542,4.0,3.0,235,-23.6227371,-46.675429,3143960,2
14841,3.0,2.0,84,-23.556137,-46.6044715,564450,3
2976,3.0,2.0,178,-23.5869864,-46.7177788,1628660,3
3009,2.0,1.0,75,-23.5607011,-46.6897068,725584,3
3052,3.0,1.0,148,-23.5594977,-46.6825085,1452160,3
14036,3.0,3.0,230,-23.588259,-46.630847,1749820,3
14196,3.0,1.0,120,-23.6028964,-46.6371541,847561,3
4138,2.0,1.0,52,-23.5529148,-46.6517826,554857,3
12722,2.0,2.0,151,-23.6011079,-46.7161175,1853840,3
12486,4.0,2.0,117,-23.6270326,-46.6959857,1240990,3
11088,2.0,1.0,66,-23.6268047,-46.7304217,635018,3
5759,2.0,1.0,56,-23.6276487,-46.6386483,587248,3
7210,3.0,3.0,180,-23.5819332,-46.6296874,1628500,3
7382,3.0,2.0,150,-23.5356866,-46.6683562,1817640,3
480,4.0,6.0,240,-23.5359526,-46.6839921,2566760,2
9978,2.0,1.0,95,-23.5667438,-46.6568451,981364,2
8502,3.0,1.0,95,-23.533148,-46.6693989,883624,2
15464,4.0,5.0,722,-23.5902769,-46.685278,12650200,3
17900,3.0,3.0,216,-23.5563019,-46.5685781,1565620,3
2634,4.0,3.0,397,-23.6390494,-46.7007211,4206820,3
4936,1.0,1.0,40,-23.5553219,-46.6527284,362833,3
3499,3.0,2.0,127,-23.6007633,-46.6717414,1296030,3
15270,3.0,3.0,158,-23.5959153,-46.6745188,2389260,3
5828,3.0,2.0,82,-23.6118132,-46.6330541,808159,2
3842,4.0,2.0,213,-23.6019109,-46.6721684,2091760,3
11235,3.0,3.0,103,-23.6352888,-46.7159311,1115970,2
13853,2.0,2.0,72,-23.5890543,-46.6477154,1108030,2
3936,4.0,3.0,297,-23.5915457,-46.6691124,3843780,3
13590,2.0,1.0,110,-23.5752099,-46.6439237,1008200,3
11567,4.0,4.0,210,-23.6304487,-46.7333628,1517940,3
9838,1.0,1.0,80,-23.5633367,-46.6505691,828644,3
12131,1.0,1.0,75,-23.6342817,-46.7362056,480263,3
14419,4.0,4.0,225,-23.5954348,-46.6472452,2180300,3
8653,4.0,3.0,205,-23.5793485,-46.6725539,2244230,3
15535,4.0,3.0,165,-23.5940723,-46.6724333,2245050,3
6883,2.0,2.0,123,-23.5758726,-46.6145763,683251,3
16773,2.0,1.0,65,-23.6084025,-46.667803,798172,2
8221,3.0,2.0,93,-23.5029192,-46.642003,596540,2
4890,2.0,1.0,106,-23.537054,-46.654065,1148460,1
1337,2.0,3.0,140,-23.5401269,-46.6795084,1409730,1
13096,4.0,3.0,198,-23.6332678,-46.700377,1495520,3
2338,3.0,2.0,185,-23.6221964,-46.6704833,2041420,2
7595,3.0,1.0,163,-23.534656,-46.680841,1280790,3
12145,1.0,2.0,57,-23.6250884,-46.732218,409322,3
14620,3.0,1.0,170,-23.5632704,-46.6756785,4016990,3
6051,3.0,1.0,71,-23.5965767,-46.6295763,475221,3
8353,3.0,2.0,101,-23.5363068,-46.6766744,1005430,3
8781,3.0,3.0,167,-23.5813184,-46.6776553,3393790,3
13998,2.0,2.0,72,-23.5818774,-46.6477353,821461,3
7839,3.0,2.0,192,-23.5375019,-46.6625502,1861890,3
13119,4.0,3.0,205,-23.5767064,-46.6480259,2092140,3
5907,3.0,2.0,65,-23.614644,-46.6351233,622867,3
1198,3.0,4.0,220,-23.554153,-46.7142958,2956040,2
17888,2.0,2.0,61,-23.5577328,-46.5815283,424069,3
9058,3.0,2.0,137,-23.5852717,-46.6789017,1548290,3
16202,4.0,3.0,206,-23.6271223,-46.6440676,2349720,2
10156,3.0,2.0,107,-23.5698388,-46.655007,1171950,3
1533,3.0,3.0,131,-23.5439368,-46.7224484,1433350,1
16338,2.0,1.0,83,-23.6066273,-46.659523,887669,2
4136,3.0,3.0,320,-23.5449849,-46.6582829,3729860,3
7532,4.0,6.0,334,-23.5371104,-46.6698175,5629230,2
441,3.0,4.0,180,-23.5349057,-46.6830434,2140820,3
7797,4.0,3.0,226,-23.4914289,-46.631757,2037780,2
4202,3.0,1.0,150,-23.5402776,-46.6555337,1349250,3
80,3.0,2.0,130,-23.5419411,-46.6980079,1723280,3
6029,3.0,2.0,120,-23.6103695,-46.622255,1056820,2
15996,2.0,1.0,63,-23.6321387,-46.6404998,559138,1
1732,3.0,2.0,147,-23.5278661,-46.685984,1358170,3
2565,2.0,1.0,55,-23.6421954,-46.6681407,415605,2
11239,4.0,6.0,200,-23.628344,-46.7236918,1694600,3
1835,4.0,5.0,350,-23.5440109,-46.7048833,4406610,3
17135,3.0,1.0,175,-23.5596971,-46.6643284,1796010,2
11592,1.0,1.0,45,-23.614083,-46.6811586,608343,3
1643,3.0,3.0,245,-23.5372206,-46.7156987,1855380,2
9205,4.0,3.0,263,-23.587699,-46.674154,4396240,3
7626,2.0,1.0,115,-23.533194,-46.658073,1206510,3
13509,3.0,2.0,81,-23.5784719,-46.635058,847448,1
17712,2.0,2.0,54,-23.5440505,-46.5865535,399935,3
1424,4.0,3.0,180,-23.5268705,-46.6926586,1996500,3
7569,3.0,1.0,93,-23.5020389,-46.6373482,620083,2
1630,4.0,2.0,136,-23.5359545,-46.6850558,1309640,3
4334,3.0,4.0,391,-23.5408176,-46.6582533,4142160,3
10725,2.0,1.0,115,-23.5611782,-46.662377,1527800,3
16973,2.0,1.0,80,-23.5573903,-46.6645418,921648,1
7116,3.0,2.0,115,-23.5691925,-46.6277828,973124,3
17125,3.0,2.0,320,-23.56376,-46.671245,3791330,1
12465,4.0,3.0,260,-23.6250202,-46.7331899,1477810,3
529,3.0,3.0,210,-23.5275259,-46.6892542,1764700,1
10316,3.0,2.0,175,-23.5642215,-46.6504758,1685550,3
5711,3.0,2.0,95,-23.6341308,-46.6380742,771398,3
5573,3.0,1.0,140,-23.5609608,-46.6759959,1746580,3
9550,4.0,4.0,563,-23.5726506,-46.6583399,7249600,3
6525,3.0,1.0,51,-23.6305591,-46.6198818,274936,3
5737,2.0,1.0,60,-23.6380129,-46.6404408,497130,2
345,2.0,1.0,55,-23.5550213,-46.6965765,532095,1
2452,5.0,4.0,550,-23.6219612,-46.6822207,4994770,2
2406,4.0,3.0,240,-23.625349,-46.670578,2450080,3
8341,2.0,1.0,82,-23.501932,-46.6271057,546740,2
15089,3.0,2.0,80,-23.5595039,-46.5867187,592496,3
5845,2.0,1.0,60,-23.6273028,-46.6369405,528142,3
10244,2.0,1.0,46,-23.5708726,-46.6617387,714116,3
4614,2.0,1.0,50,-23.5557975,-46.6542326,528102,1
13965,3.0,2.0,101,-23.5862177,-46.6451455,956915,3
17404,3.0,1.0,110,-23.5755604,-46.6342546,930814,2
15532,2.0,1.0,71,-23.6003342,-46.682627,615544,3
1095,3.0,2.0,117,-23.5385089,-46.6869555,1018860,3
8079,3.0,1.0,67,-23.5288458,-46.6537832,785044,3
2707,2.0,1.0,65,-23.612941,-46.6797389,639693,3
15006,3.0,2.0,78,-23.5568517,-46.6043505,461267,3
353,1.0,2.0,39,-23.5417525,-46.7024707,430213,2
11024,3.0,2.0,89,-23.6126108,-46.6878865,1102740,3
8331,4.0,1.0,136,-23.5371987,-46.6696167,1120370,3
5864,3.0,2.0,76,-23.5992867,-46.6308564,881628,3
11628,4.0,3.0,150,-23.5993641,-46.7298243,980003,3
9028,3.0,2.0,147,-23.5823432,-46.6813682,1752240,3
13994,4.0,3.0,138,-23.5767292,-46.6461395,1961380,3
6501,2.0,1.0,120,-23.6053022,-46.6372463,1216500,3
7237,3.0,2.0,65,-23.5700683,-46.6267571,636445,3
10049,3.0,1.0,141,-23.565144,-46.6561721,1713810,1
4111,3.0,1.0,120,-23.5371212,-46.6574781,1120170,2
2916,2.0,1.0,100,-23.5597227,-46.6822776,1074140,2
17230,4.0,1.0,162,-23.5713184,-46.6349529,1123800,2
14049,3.0,1.0,110,-23.5882136,-46.6401855,988993,3
8469,3.0,3.0,260,-23.4918998,-46.6313048,2139690,3
10574,4.0,4.0,394,-23.5686401,-46.6537097,4695390,3
10582,3.0,1.0,175,-23.567607,-46.658593,1918160,1
3905,1.0,1.0,47,-23.5996725,-46.6692759,854327,1
5534,2.0,2.0,92,-23.5533001,-46.6771237,1324870,2
16067,2.0,1.0,88,-23.6151088,-46.6589862,574665,1
17780,4.0,6.0,273,-23.5525658,-46.5747897,2314810,3
8652,3.0,1.0,141,-23.585286,-46.683584,1462930,2
12537,2.0,2.0,58,-23.6011079,-46.7161175,712073,3
6695,3.0,2.0,85,-23.6152431,-46.6309404,813963,3
10448,4.0,2.0,343,-23.5725248,-46.6521681,3876770,3
5867,4.0,3.0,113,-23.605685,-46.626752,1016900,2
8245,3.0,5.0,383,-23.5368509,-46.6597713,4960900,3
17217,1.0,1.0,45,-23.5628967,-46.6326575,380788,3
1763,4.0,4.0,332,-23.5604772,-46.7009285,5096200,2
7067,4.0,5.0,415,-23.5704454,-46.628767,4856060,1
5232,4.0,2.0,290,-23.5479553,-46.6572281,3380190,3
5346,2.0,1.0,90,-23.552365,-46.6552784,816374,3
10121,3.0,1.0,170,-23.566663,-46.6611228,2493920,3
13338,4.0,4.0,288,-23.5716633,-46.6499803,4076360,3
6353,3.0,2.0,96,-23.598235,-46.6207518,631584,3
9138,3.0,1.0,130,-23.5776956,-46.6718161,1394390,2
5215,3.0,1.0,110,-23.5555426,-46.6593833,844415,3
11021,3.0,1.0,78,-23.613009,-46.6848526,879867,3
8801,3.0,1.0,160,-23.581471,-46.6871479,2849760,3
12995,3.0,4.0,250,-23.6052492,-46.7052375,1923990,3
13298,4.0,4.0,305,-23.5893844,-46.6278914,3419320,3
16371,3.0,1.0,79,-23.6056176,-46.6586665,967068,3
11590,4.0,5.0,421,-23.6330678,-46.7061112,4547450,3
1942,1.0,1.0,48,-23.6355461,-46.6646865,379351,2
7456,2.0,2.0,112,-23.5329102,-46.6808979,1249860,3
231,4.0,4.0,258,-23.5388583,-46.7132246,3139240,3
17555,2.0,1.0,70,-23.5628095,-46.6419084,725064,2
9501,4.0,1.0,220,-23.5624914,-46.6529254,1846410,3
10812,2.0,1.0,91,-23.5662943,-46.6571649,1009500,3
7721,2.0,1.0,114,-23.5317009,-46.6533017,1077210,2
5415,3.0,3.0,101,-23.5561764,-46.6775926,1355060,2
9399,1.0,1.0,37,-23.5840219,-46.6755095,617167,3
1836,4.0,4.0,171,-23.529122,-46.704905,1263360,2
15136,3.0,1.0,130,-23.5691963,-46.588329,595618,2
10550,4.0,2.0,280,-23.5670899,-46.6612204,3939440,3
1134,5.0,4.0,630,-23.5543953,-46.7178445,12257700,3
13078,4.0,4.0,207,-23.6130645,-46.7326162,1251600,2
3393,2.0,1.0,65,-23.565116,-46.6863618,915195,3
4764,4.0,1.0,500,-23.5465668,-46.6550122,4058670,2
1611,3.0,2.0,115,-23.5297048,-46.6872547,1257340,3
17525,2.0,1.0,90,-23.5638658,-46.632486,761575,3
4970,3.0,2.0,350,-23.5434459,-46.6619844,4079540,3
9536,3.0,2.0,393,-23.5645507,-46.6605456,5765360,3
4382,3.0,1.0,180,-23.5442995,-46.6573619,2017150,3
13743,3.0,2.0,93,-23.5882965,-46.6366419,1058010,2
851,3.0,2.0,130,-23.5429662,-46.6828417,1282200,1
4209,3.0,1.0,240,-23.543519,-46.6568839,1943080,1
11665,2.0,2.0,65,-23.6011079,-46.7161175,798013,3
656,3.0,2.0,126,-23.5422603,-46.7032502,1177910,1
3017,2.0,2.0,200,-23.5909149,-46.7300387,1299440,3
2156,3.0,2.0,165,-23.6227398,-46.6729532,1683890,3
4245,4.0,4.0,273,-23.5419154,-46.6398994,2820850,3
5447,3.0,1.0,110,-23.5606242,-46.676245,1054340,3
7232,3.0,1.0,80,-23.5708187,-46.6280389,611256,1
11524,4.0,7.0,568,-23.6366667,-46.73,5566120,3
5039,4.0,3.0,515,-23.5385,-46.6578693,4221570,3
3754,4.0,4.0,240,-23.6004733,-46.6708145,3678280,3
9945,3.0,2.0,207,-23.5740795,-46.6572028,2430310,2
6213,3.0,2.0,83,-23.5989619,-46.6318012,996635,3
1461,3.0,2.0,100,-23.5331445,-46.6844115,1030340,3
3801,5.0,6.0,634,-23.5968223,-46.6710577,15727600,1
5622,2.0,1.0,64,-23.6141337,-46.6325189,483205,3
3898,5.0,3.0,240,-23.6008114,-46.6708698,2958680,3
799,4.0,3.0,163,-23.5428026,-46.7259729,2207600,1
13349,3.0,2.0,260,-23.6011153,-46.6369015,1780160,3
125,3.0,2.0,124,-23.5319572,-46.7271437,1188240,3
14766,3.0,2.0,134,-23.5809272,-46.5899919,814274,1
6201,3.0,2.0,102,-23.6359422,-46.6371722,716444,3
5051,2.0,1.0,48,-23.5572496,-46.6514247,696408,3
11559,2.0,2.0,74,-23.6246218,-46.7356763,370925,3
12831,2.0,1.0,70,-23.613345,-46.6823407,777243,3
10239,3.0,1.0,170,-23.5673808,-46.6621486,2324540,3
1062,2.0,1.0,54,-23.5342055,-46.6851441,539175,3
11941,4.0,6.0,233,-23.633878,-46.7340741,1652980,3
6720,4.0,2.0,127,-23.6389946,-46.6318214,1099050,2
17225,4.0,3.0,134,-23.5678186,-46.628309,1521940,3
12936,3.0,1.0,78,-23.5914741,-46.7215035,529771,3
17444,3.0,1.0,130,-23.5749862,-46.6335217,989058,3
10737,3.0,1.0,193,-23.5663782,-46.666998,2120900,3
4201,2.0,1.0,69,-23.5488327,-46.6542633,583802,3
11344,3.0,3.0,137,-23.6271024,-46.73677,859782,3
14378,4.0,4.0,127,-23.5976601,-46.6412154,1170230,3
6721,3.0,4.0,140,-23.5989488,-46.6064325,1094590,3
2560,1.0,1.0,50,-23.6251525,-46.6838094,501035,2
5366,3.0,1.0,98,-23.5526262,-46.6805757,948096,2
8566,3.0,3.0,220,-23.5346298,-46.6664107,2046290,3
9689,2.0,1.0,69,-23.5682134,-46.6505404,797288,3
15885,4.0,4.0,420,-23.5989767,-46.6638405,5116770,3
13286,2.0,1.0,104,-23.578137,-46.642555,884614,3
10923,3.0,2.0,110,-23.627332,-46.719082,785531,3
6611,2.0,1.0,35,-23.6289504,-46.6360883,353282,2
14238,2.0,1.0,52,-23.573762,-46.63976,415546,3
12621,3.0,3.0,150,-23.6021502,-46.7283194,1319590,3
15592,4.0,5.0,434,-23.5904263,-46.6855581,7100200,2
5699,3.0,1.0,78,-23.6023614,-46.6036593,648167,3
3851,3.0,2.0,134,-23.6020345,-46.672267,1715040,3
6945,3.0,2.0,90,-23.5761628,-46.6231968,911120,3
4407,3.0,2.0,212,-23.5429003,-46.6627248,2047550,3
17921,3.0,2.0,92,-23.5352452,-46.575463,647830,3
16271,4.0,3.0,226,-23.6008631,-46.6615442,3051930,3
8923,3.0,2.0,143,-23.581733,-46.6737597,1779900,3
10797,3.0,2.0,191,-23.5596493,-46.6477368,1576260,2
7814,4.0,1.0,130,-23.500048,-46.6298508,960111,2
3212,2.0,1.0,78,-23.564477,-46.6846449,973096,2
11842,1.0,1.0,46,-23.6144542,-46.6824649,485065,3
14093,2.0,2.0,71,-23.5866186,-46.6409661,969221,3
236,2.0,1.0,85,-23.539367,-46.680335,838258,1
7448,2.0,1.0,65,-23.5031175,-46.6377751,377427,2
12315,2.0,1.0,56,-23.597334,-46.738065,488651,3
5032,5.0,2.0,500,-23.5449849,-46.6582829,5827910,3
5308,3.0,1.0,98,-23.5411395,-46.6573473,1098230,3
9654,3.0,1.0,162,-23.5665089,-46.6616743,2376560,3
6583,3.0,2.0,89,-23.5991231,-46.6111284,799653,3
14226,3.0,2.0,115,-23.5944182,-46.6442428,1028140,3
6315,3.0,2.0,132,-23.6129473,-46.6244062,1201810,3
4093,4.0,3.0,176,-23.5454759,-46.6546442,1779860,3
14896,3.0,1.0,87,-23.5608129,-46.6057828,644340,3
10395,4.0,2.0,300,-23.5732366,-46.6590069,3672580,3
12780,3.0,3.0,300,-23.6211335,-46.7390368,1768690,3
194,2.0,3.0,152,-23.5525983,-46.6973418,2106600,3
4481,4.0,3.0,275,-23.5433438,-46.6532179,2601630,3
12576,3.0,2.0,181,-23.5974059,-46.7234728,1106620,2
4310,2.0,1.0,126,-23.5462103,-46.6588995,1637140,3
4601,4.0,3.0,211,-23.5459735,-46.6609683,2244760,1
15326,2.0,1.0,75,-23.5934543,-46.6843239,817825,2
15511,1.0,1.0,46,-23.5887671,-46.6776711,553356,1
14026,2.0,1.0,70,-23.6028718,-46.6396197,727980,3
8579,3.0,1.0,117,-23.5413332,-46.6738616,962932,2
17311,4.0,4.0,276,-23.5770609,-46.6347814,2635160,2
7221,3.0,1.0,98,-23.5788193,-46.6179128,626093,3
8044,3.0,2.0,86,-23.5048134,-46.6770845,434440,2
7360,3.0,4.0,140,-23.5317143,-46.680006,1619220,2
13932,3.0,2.0,93,-23.587962,-46.6403353,873119,3
15343,2.0,2.0,81,-23.5987684,-46.6837077,1153920,3
13550,3.0,1.0,114,-23.5845864,-46.6463598,935932,3
6890,4.0,4.0,380,-23.5714473,-46.6274863,4012900,2
14121,3.0,1.0,134,-23.578704,-46.6353049,1133900,3
2061,2.0,1.0,110,-23.638282,-46.6958295,646165,3
7765,2.0,2.0,76,-23.5272143,-46.684127,883420,2
4240,1.0,1.0,47,-23.5407504,-46.6580377,560193,3
